     1   2078   1649   1708   3868   5463   2355    805    475
     1   1929   1551   1550   3825   4741   2305    760    450
     1   1888   1613   1674   4440   4807   2388    775    460
     1   2020   1670   1829   3800   4974   2370    766    460
     1   2223   1814   1933   4222   5460   2470    815    475
     1   2190   1800   2066   4662   4860   2535    838    521
     1   2136   1640   1767   4070   5372   2385    815    480
     1   2150   1761   1859   4053   5231   2445    840    480
     1   2040   1694   1958   3977   5579   2435    835    440
     1   2052   1551   1712   3877   5401   2330    830    475
     1   2282   1706   1896   3976   5560   2500    855    500
     1   1892   1626   1763   3538   5149   2270    810    446
     1   1977   1556   1935   3576   5346   2330    785    462
     1   2220   1680   2054   4226   5130   2465    880    490
     1   2070   1604   1616   3633   5037   2345    845    475
     1   2000   1602   1818   3997   5304   2410    790    460
     1   2140   1612   1719   3490   5254   2305    790    450
     1   2084   1565   1793   3834   5078   2345    760    450
     1   2072   1651   1772   3970   5402   2396    804    462
     1   2132   1784   1875   4150   5422   2390    845    460
     1   1826   1548   1815   3519   5230   2250    800    425
     1   2073   1588   1919   4239   5203   2385    790    475
     1   2187   1801   2145   4464   5874   2600    910    524
     1   1802   1363   1458   3631   4842   2145    760    416
     1   2054   1569   1745   3678   5445   2305    791    462
     1   2479   1880   2065   4195   6104   2590    860    535
     1   2102   1506   1660   3871   5212   2300    772    437
     1   2158   1612   1869   4015   5652   2500    828    480
     1   1907   1549   1672   4050   5307   2350    770    456
     1   2084   1660   1906   4000   5061   2355    805    465
     1   1987   1592   1720   3741   5245   2475    810    470
     1   1933   1486   1742   4007   5032   2345    810    465
     1   1914   1583   1722   3677   4871   2237    805    437
     1   2015   1695   1997   4404   5453   2525    815    495
     1   1930   1688   1883   3941   5004   2370    795    469
     1   2155   1656   2150   4070   5473   2457    796    477
     1   1988   1599   1779   3856   5165   2352    770    475
     1   2027   1645   1966   4334   5293   2452    775    470
     1   2023   1612   1781   4148   4940   2340    796    455
     1   1885   1549   1628   3718   5286   2300    810    455
     1   1945   1580   1739   3801   5567   2370    800    475
     1   2186   1847   1896   4160   5587   2470    845    500
     1   2110   1631   1703   3856   4773   2350    850    465
     2   1888   1548   1763   4112   4814   2350    735    450
     2   1898   1568   1734   4169   4919   2285    750    420
     2   1735   1534   1566   3947   4773   2170    738    415
     2   1746   1394   1397   3657   4771   2060    720    415
     2   1734   1495   1561   3859   5229   2275    785    417
     2   1741   1530   1683   3999   4745   2330    790    450
     2   1746   1562   1456   3807   5108   2260    760    426
     2   1722   1558   1757   4097   4379   2290    750    432
     2   1873   1524   1885   3921   5007   2340    795    450
     2   1738   1419   1634   4039   4228   2270    771    420
     2   1731   1546   1560   3764   4866   2175    755    424
     2   1815   1436   1361   3728   4911   2150    750    412
     2   1790   1524   1606   3890   4700   2189    770    427
     2   1814   1454   1672   3890   5282   2275    795    425
     2   1819   1506   1809   3564   5062   2290    790    435
     2   1814   1550   1552   4265   4801   2298    776    440
     2   1773   1355   1447   3717   4649   2135    745    415
     2   1783   1465   1487   4141   4459   2240    760    415
     2   1762   1657   1717   4262   4982   2270    750    435
     2   1766   1585   1557   3805   4474   2235    731    430
     2   1823   1504   1591   3928   4611   2275    725    425
     2   1795   1487   1478   3762   5000   2200    775    415
     2   1702   1522   1725   4155   5065   2350    779    488
     2   1755   1517   1536   4098   4634   2265    746    420
