  1      6      5      5      4    
  2      5      4      5      3    
  3      2      3      3      3    
  4      3      2      1      3    
  5      4      4      5      0    
  6      1      2      1      2    
  7      3      2      3      1    
  8      1      3      1      1    
  9      1      3      2      1    
 10      1      0      5      1    
 11      4      1      2      .   
 12      0      3      2      .   
 13      1      0      2      .   
 14      2      0      3      .   
 15      4      0      3      .   
 16      1      1      1      .   
 17      0      1      1      .   
 18      1      2      0      .   
 19      0      1      3      .   
 20      2      0      0      .   
