   15    29     0
   36    68     0
   45    68     0
   45    30     0
   47    45     0
   50    33     0
   60    41     0
   63    30     0
   64    17     0
   73    24     0
   80    16     0
   80    12     0
   82    13     0
   96    31     0
   98    31     0
   99    32     0
  106    16     0
  110    58     0
  130    42     0
  142    60     3
  146    57     0
  150    42     1
  185    64     0
  191    31     0
  198    32     3
  199    53    17
  210    57     1
  210    36     0
  217    32     0
  218    31     1
  226    40     9
  230    42     0
  231    36     0
  235    32     8
  279    98     0
  328    38     0
  339    49     0
  340    21     0
  355    28     0
