1 0 0  6.25  10   36
1 0 0  8.17   6   80
1 0 0 10.25   7   81
1 0 0 12.50   2  108
1 0 0 14.25   2   60
1 0 0 15.50   6   35
1 0 0 17.75  14   69
1 0 0 20.25  14   68
1 0 0 21.75  36   68
0 1 0  6.25  32   62
0 1 0  8.17  19  111
0 1 0 10.25  20  110
0 1 0 12.50  21  104
0 1 0 14.25  11  102
0 1 0 15.50  24   81
0 1 0 17.75  33   93
0 1 0 20.25  53  118
0 1 0 21.75 227  299
0 0 1  6.25  22   32
0 0 1  8.17  21   54
0 0 1 10.25  18   76
0 0 1 12.50  17   54
0 0 1 14.25   3   39
0 0 1 15.50   8   35
0 0 1 17.75  33   72
0 0 1 20.25  62   79
0 0 1 21.75  85  102
