  577   440   943   609  1488   919
  579   440   907   595  1547   949
  578   435   912   585  1499   883
  577   443   909   609  1505   917
  578   434   936   629  1517   943
  568   438   929   616  1508   943
  584   430   930   622  1512   946
  582   440   917   600  1522   930
  579   448   958   637  1558   958
  565   427   902   597  1548   958
  570   425   894   572  1494   908
  595   431   927   613  1542   935
  501   391   806   542  1349   832
  594   462   996   666  1631  1014
  555   417   893   576  1478   888
  564   436   907   607  1492   929
  597   441   952   603  1490   914
  587   452   947   631  1512   917
  570   413   897   591  1485   887
  581   420   953   609  1552   951
  574   419   920   585  1493   897
  597   444   949   626  1554   936
  593   447   950   619  1519   937
  546   406   902   586  1470   867
  565   422   929   598  1484   897
  571   428   940   618  1505   923
  584   443   923   611  1516   936
  571   423   922   613  1485   928
  573   424   913   602  1506   944
  527   401   880   574  1424   886
  571   431   933   612  1577   976
  522   396   894   570  1468   867
  576   436   916   602  1497   916
  564   402   902   583  1451   852
  580   431   939   599  1551   925
  562   412   911   589  1484   883
  580   425   906   597  1467   900
  537   391   873   562  1404   838
  543   422   853   573  1408   891
  569   421   884   576  1434   865
  591   431   967   608  1567   933
  566   422   912   582  1491   903
  551   400   878   567  1476   882
  588   422   942   595  1526   907
  588   449   965   630  1593   967
  572   423   915   580  1508   902
  580   424   922   590  1548   918
  561   414   950   613  1545   936
  570   416   923   602  1511   919
  565   436   906   612  1488   911
  576   426   910   582  1465   859
  558   420   920   593  1531   904
  549   427   883   600  1440   899
  562   423   921   615  1551   971
  549   410   882   577  1474   899
  569   411   917   573  1502   889
  567   413   903   572  1520   898
  569   419   904   578  1491   893
  597   439   960   619  1571   958
  548   414   899   574  1501   882
  579   430   927   610  1520   958
  537   396   884   583  1468   878
  589   450   921   617  1517   933
  559   428   905   606  1503   958
  574   423   926   576  1523   894
  576   422   910   601  1468   910
  566   426   931   611  1521   942
  582   438   949   618  1560   930
  566   420   900   592  1498   923
  552   412   894   575  1501   913
  567   424   907   593  1498   917
  585   435   958   612  1539   935
  568   423   902   579  1462   874
  592   430   931   605  1507   901
  582   427   930   617  1528   948
  569   421   902   585  1467   892
  572   419   917   594  1475   896
  551   418   896   591  1451   908
  586   443   931   613  1487   898
  571   410   907   591  1464   902
  550   402   894   563  1461   867
  567   429   923   619  1493   963
  570   414   905   583  1503   902
  566   425   927   613  1499   935
  583   437   939   607  1547   948
  575   426   925   602  1500   903
  577   413   901   583  1499   888
  585   448   949   616  1568   957
