     1   345   304    55    75   168    34   110
     1   127   273    47    69   155    33   108
     1   132   272    42    71   157    38   110
     1   218   289    48    74   165    38   114
     1   189   291    47    75   164    36   114
     1   288   298    52    73   161    32   104
     1   121   280    49    72   156    35   106
     1   188   271    44    67   154    34   107
     1   231   283    52    73   168    35   108
     1   139   285    45    73   158    38   111
     1   126   292    50    80   174    35   117
     1   196   288    50    71   161    33   110
     1   164   285    48    75   163    37   114
     1   181   277    51    73   156    33   106
     1   128   256    44    66   148    32   102
     1   129   268    42    71   159    37   112
     1   166   281    50    68   155    33   107
     1   178   267    48    70   150    36   108
     1   242   288    51    72   165    34   108
     1   189   297    52    73   161    33   109
     1   161   283    49    72   156    34   112
     1   164   288    49    73   156    33   108
     1   163   281    46    70   151    32   105
     1   185   250    39    66   148    33   100
     1   160   284    50    76   162    34   108
     1   165   281    52    71   160    37   108
     1   151   273    56    75   159    35   108
     1   149   277    53    70   161    35   112
     1   249   282    53    72   165    33   110
     1   168   277    49    74   164    35   113
     1   129   274    51    72   159    36   109
     1   129   284    55    74   164    36   110
     1   148   299    56    75   166    34   110
     1   130   303    62    79   177    35   118
     1   296   297    58    77   168    35   115
     1   140   264    50    71   151    37   105
     1   129   262    52    67   152    32   104
     1   129   269    52    73   165    33   107
     1   129   281    56    73   161    33   106
     1   121   293    55    78   168    34   118
     1   129   267    53    68   159    35   103
     2   152   265    44    64   144    41   104
     2   183   261    47    64   143    42   103
     2   183   249    43    58   141    42   100
     2   183   245    42    61   145    40   102
     2   183   263    42    63   157    39   103
     2   183   255    42    63   142    41   101
     2   213   273    47    65   155    41   107
     2   213   250    41    60   142    37    98
     2   213   252    39    60   142    37    99
     2   213   265    41    62   147    40   105
     2   213   268    45    63   152    40   103
     2   213   259    44    63   149    39   103
     2   213   268    47    62   151    39   103
     2   213   270    45    66   149    39   105
     2   213   260    39    63   147    40   101
     2   213   269    46    65   148    41   106
     2   244   261    43    63   146    42   103
     2   244   272    43    63   158    40   106
     2   244   277    49    64   158    39   111
     2   244   257    42    67   152    41   104
     2   244   261    44    64   146    40   106
     2   244   268    48    64   157    40   106
     2   274   288    51    67   153    41   109
     2   305   274    46    68   158    39   108
     2   305   262    46    65   151    39   108
     2   305   269    47    63   147    42   106
     2   305   275    43    66   149    39   103
     2   305   277    44    66   145    40   102
     2   305   271    44    64   152    41   102
     2   305   278    43    68   155    38   107
     2   305   274    49    63   157    39   107
     2   335   264    40    64   158    40   102
     2   335   273    47    66   154    42   107
     2   365   274    48    64   159    38   106
     2   365   271    39    65   160    40   108
     2   365   268    46    61   147    40   100
     2   365   274    50    66   159    39   105
     2   365   271    47    67   155    39   103
     2   274   289    51    71   167    41   108
     2   122   254    42    66   143    37    99
     2   122   269    49    68   146    38   107
     2   152   264    46    67   147    40   105
     2   124   263    45    64   138    39   102
     2   138   267    45    66   149    42   107
     2   126   262    43    63   144    41   102
