    109.2    120.1    103.0     47.6    120.1    132.4
    101.5    117.3    109.6     55.7    123.1    137.1
    109.5    111.7     93.4     48.0    105.4    127.2
     96.1    117.8    115.5     56.8    115.7    126.7
    107.6    117.9     96.6     50.5    111.8    125.3
    101.4    102.4    108.9     56.5    108.3    122.6
    106.7    123.8    111.4     53.4    116.8    117.0
     85.6    120.3    112.4     61.2    117.7    136.2
     99.7    122.0    110.8     61.0    122.1    124.5
     95.0    116.9    102.7     53.3    127.6    146.1
     83.9    105.7    115.4     65.4    113.9    131.1
     80.7    116.4    115.3     66.5    131.9    133.6
     89.8    116.8    111.0     64.2    119.5    129.8
     95.5    110.6    118.1     58.9    111.5    117.6
    107.9    125.6    114.2     61.0    126.6    134.3
     87.2    112.6    114.2     60.6    126.7    127.8
     96.0    112.3    112.9     57.0    119.3    130.4
    107.4    113.5    114.4     56.4    125.3    131.3
    100.5    111.7    114.8     63.9    115.9    133.3
     94.8    111.2    124.7     53.2    116.2    127.6
    107.7    116.1    117.2     57.1    124.1    139.5
    111.3    111.2    119.4     52.4    112.4    130.7
    109.6    121.6    124.5     52.2    111.8    128.2
    106.6    134.6    116.5     58.2    122.9    140.1
    108.2    119.1    119.4     59.9    123.2    131.2
    105.5    113.8    132.3     54.2    123.7    127.5
    106.5    116.1    112.7     57.7    115.6    130.2
    101.7    116.7    120.0     56.5    119.8    137.4
    110.4    111.7    122.2     56.6    117.5    128.5
    106.8    107.4    113.4     56.8    126.2    115.7
    104.4    108.7    109.3     51.4    115.9    121.6
    102.2    106.8    120.5     57.4    117.3    130.6
     93.5    116.6    118.8     56.4    113.8    133.3
    103.3    114.1    119.3     59.5    113.8    127.1
     86.1    111.7    116.0     52.9    119.4    129.9
     97.0    108.4    108.1     49.9    114.4    123.2
    113.3    111.8    125.2     51.4    124.0    134.1
    109.5    119.4    117.8     51.0    121.4    130.5
    103.5    110.5    130.8     57.3    125.9    136.0
    104.3    108.6    116.1     53.3    119.4    137.6
    108.3    122.5    123.2     52.9    124.3    124.5
     99.6    112.2    103.3     52.8    115.7    128.4
     97.5    122.6    118.8     50.7    114.1    117.8
     96.6    111.2    115.3     54.8    117.1    130.5
    109.3    124.0    113.8     51.1    115.6    119.7
    112.4    121.1    111.7     53.7    115.9    129.7
    105.5    123.9    111.3     50.1    119.8    122.3
    105.7    111.3    124.3     56.0    117.8    132.7
    101.4    105.4    112.1     53.1    113.0    128.4
    107.6    124.3    112.0     48.5    118.9    132.4
    103.1    117.8    119.4     47.4    117.7    137.1
    103.3    111.7    112.8     54.8    122.2    131.9
    105.1    117.5    116.3     56.7    119.5    131.6
     90.8    113.0    115.6     50.9    114.3    130.2
    114.2    121.1    120.9     54.3    122.2    140.7
    114.5    121.4    115.9     57.2    123.5    134.6
    110.6    119.4    115.2     53.5    119.6    128.2
    110.1    114.4    116.8     51.8    123.1    135.3
    104.6    110.9    113.5     49.4    117.1    130.0
