 1 189 245 137 163
 1 192 260 132 217
 1 217 276 141 192
 1 221 299 142 213
 1 171 239 128 158
 1 192 262 147 173
 1 213 278 136 201
 1 192 255 128 185
 1 170 244 128 192
 1 201 276 146 186
 1 195 242 128 192
 1 205 263 147 192
 1 180 252 121 167
 1 192 283 138 183
 1 200 294 138 188
 1 192 277 150 177
 1 200 287 136 173
 1 181 255 146 183
 1 192 287 141 198
 2 181 305 184 209
 2 158 237 133 188
 2 184 300 166 231
 2 171 273 162 213
 2 181 297 163 224
 2 181 308 160 223
 2 177 301 166 221
 2 198 308 141 197
 2 180 286 146 214
 2 177 299 171 192
 2 176 317 166 213
 2 192 312 166 209
 2 176 285 141 200
 2 169 287 162 214
 2 164 265 147 192
 2 181 308 157 204
 2 192 276 154 209
 2 181 278 149 235
 2 175 271 140 192
 2 197 303 170 205
